영화코드,영화명(국문),영화명(영문),영화명(원문),관람등급,장르,상영시간,감독명,
20183915,극장판 공룡메카드: 타이니소어의 섬,,,,,70,,
20182588,미래의 미라이,MIRAI,未来のミライ(,,,97,,
20186281,범블비,Bumblebee,,,,113,,
20170658,PMC: 더 벙커,Take Point,,,,124,,
20175547,스윙키즈,Swing Kids,,,,133,,
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,,,93,,
20184187,언니,No Mercy,,,,93,,
20182421,그린치,The Grinch,,,,89,,
20168773,마약왕,The Drug King,,,,139,,
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,,,103,,
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,,,116,,
20177552,국가부도의 날,Default,,,,114,,
20179230,도어락,Door Lock,,,,102,,
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,,,98,,
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,,,99,,
20182082,부탁 하나만 들어줘,A Simple Favor,,,,116,,
20178825,모털 엔진,Mortal Engines,,,,128,,
20183745,런닝맨 : 풀룰루의 역습,Running Man,,,,66,,
20177538,완벽한 타인,Intimate Strangers,,,,115,,
20184481,성난황소,Unstoppable,,,,115,,
20181905,후드,Robin Hood,,,,116,,
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,,,133,,
20183073,베일리 어게인,A Dog's Purpose,,,,100,,
20181171,바울,"Paul, Apostle Of Christ",,,,107,,
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,,,115,,
20182966,투 프렌즈,TWO TAILS,,,,74,,
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,,,82,,
20182935,출국,Unfinished,,,,104,,
20182669,툴리,TULLY,,,,95,,
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,,,109,,
20170513,동네사람들,Ordinary People,,,,99,,
20189869,해피 투게더,Happy Together,,,,110,,
20174981,창궐,Rampant,,,,121,,
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,,,152,,
20179006,여곡성,The Wrath,,,,94,,
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,,,105,,
20180523,스타 이즈 본,A Star Is Born,,,,135,,
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,,,89,,
20180987,할로윈,Halloween,,,,105,,
20179189,암수살인,Dark Figure of Crime,暗數殺人,,,109,,
20189067,미쓰백,Miss Baek,,,,97,,
20182403,크레이지 리치 아시안,Crazy Rich Asians,,,,120,,
20186321,퍼스트맨,First Man,,,,141,,
20177221,베놈,Venom,,,,107,,
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,,,103,,
20176122,안시성,The Great Battle,安市城,,,135,,
20184678,배반의 장미,Too Hot to Die,,,,98,,
20187521,펭귄 하이웨이,Penguin Highway,ペンギン・ハイウェイ,,,117,,
20180628,액슬,A-X-L,,,,98,,
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,,,,71,,
20189462,셜록 놈즈,Sherlock Gnomes,,,,86,,
20177308,협상,THE NEGOTIATION,,,,114,,
20188661,에브리데이,EVERY DAY,,,,97,,
20172204,명당,FENGSHUI,,,,126,,
20167903,원더풀 고스트,THE SOUL-MATE,,,,96,,
20189262,더 넌,The Nun,,,,96,,
20185046,서치,Searching,,,,102,,
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,,,103,,
20189268,루이스,Luis and the Aliens,,,,85,,
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,,,,68,,
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",,,,72,,
20156554,물괴,Monstrum,,,,105,,
20153446,너의 결혼식,On Your Wedding Day,,,,110,,
20188581,더 프레데터,The Predator,,,,107,,
20189362,업그레이드,UPGRADE,,,,100,,
20177537,상류사회,High Society,,,,119,,
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,,,,113,,
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,,,,141,,
20179101,공작,The Spy Gone North,,,,137,,
20170670,목격자,The Witness,,,,111,,
20189261,어드리프트:우리가 함께한 바다,ADRIFT,,,,96,,
20187647,나를 차버린 스파이,The Spy Who Dumped Me,,,,117,,
20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,,,,147,,
20139221,그래비티,Gravity,,,,90,,
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,,,,97,,
20183584,메가로돈,The Meg,,,,113,,
20187657,마일22,Mile22,Mile22,,,94,,
20187641,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,,,,107,,
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,,,110,,
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,,,,84,,
20183361,인크레더블 2,INCREDIBLES 2,,,,125,,
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,,,,67,,
20186121,어느 가족,SHOPLIFTERS,万引き家族,,,120,,
20170942,인랑,ILLANG : THE WOLF BRIGADE,人狼,,,138,,
20180522,앤트맨과 와스프,Ant-Man and the Wasp,,,,118,,
20185341,마녀,The Witch : Part 1. The Subversion,,,,125,,
